"preto som minimálne rád, keď sa mi pod ruky (alebo pred oči?) dostane niečo nové",1
"Predsa len, kreatívne pero dokáže prekvapiť. Nie raz, nie dvakrát, ale naprieč celou snímkou opakovane a efektívne. ",1
"Hereckou kráľovnou je nepochybne Rosamund Pike, ktorá je desať úrovní nad akýmkoľvek iným hercom alebo herečkou vo filme.",1
 Primárne je pozornosť upriamená na postavu Rosamund a v konkrétnych momentoch jej sekunduje Dinklage. A ono to prekvapivo funguje. ,1
"Ako v bavlnke je nadmieru zábavným neo thrillerom s relevantnou obsahovou hodnotou, adekvátnym technickým spracovaním, výbornou Rosamund a aktuálnym sociálnym presahom, za ktorý sa tradične rozdávajú sošky alebo minimálne nominácie (posledné dva filmy J. Peeleho).",1
"Scenár je relatívne šikovný, správne nepríjemný, zvrátený a v zásade v ňom nenájdete jedinú postavu, s ktorou by ste sa chceli alebo mohli stotožniť",1
"Priznám sa, že pôvodné Fantastické štvorky nie sú žiadne veľdielo, ale vždy mi prišli zábavné a príjemné.",1
"Uthaug  každopádne zvláda aj budovanie atmosféry, či prácu s charaktermi. Zápletka síce neohromí a nie je núdza o tradičné žánrové klišé, no je pozitívne, že sa vyhýba nezmyselným dejovým kolotočom a svojou osemdesiatkovou priamočiarosťou je vlastne až sympatická.",1
"Sympatická je i práca s hernými odkazmi, ktoré až na záverečný fanservis nerušia a  svojou prítomnosťou skôr posúvajú dej.",1
" V rámci nedostatkového dobrodružného žánru však ide o prírastok, ktorý si zaslúži palec nahor a bezosporu jedna z najlepších videoherných adaptácií. ",1
"Už len presvedčivejšou, a v rámci možností, dobre hrajúcou Aliciou Vikander, či vydarenou technickou stránkou, kde je všetko na svojom mieste, bez problémov predčí pôvodné dva filmy.",1
"Len záverečná scéna má toľko nefalšovaných emócií, že by teoreticky mala zapôsobiť aj na najväčšieho cynika.",1
Tých päť oscarových nominácií a množstvo ďalších ocenení je však úplne zaslúžených.,1
"Drljević, ktorý sa okrem réžie podieľal aj na scenári, sa síce nevybral tou ľahšou cestou, ale pochváliť ho možno minimálne za to, že na hrôzy a nezmyselnosť vojny sa mu darí upozorňovať rovnako efektívne, ako snímkom situovaným priamo do centra diania. ",1
Určité kvality v sebe ukrýva tak či tak.,1
"Z „pohodového“ filmu sa následne stáva vojnový blockbuster, ktorý však prekvapivo dobre funguje.",1
"Ako origin film poslúžil dobre, z príbehového hľadiska príjemne odsýpa a vy sa v kine nebudete nudiť.",1
"Nie je to však iba kvôli deju, prípadne akcii, ktorá je skvelá a ponúka niekoľko pôsobivých scén, veľmi veľkú zásluhu na tom má ústredné duo, čiže Diana a Steve.",1
"Chémia medzi oboma hercami funguje na jednotku, na ich dialógy je radosť pozerať, skrátka takto to má vyzerať.",1
" Hoci nešlo o stávku na istotu, svoju úlohu zvládla. Prechody medzi jednotlivými náladami filmu pôsobia prirodzene, gradácia funguje bez problémov, film ako celok drží pokope a aj keď sa menšie zakopnutia nájdu, ide o dobre odvedenú prácu. ",1
"Film funguje sám o sebe, ponúka dobrú akciu, humor, sympatické postavy, má príjemný vizuál, nechýbajú v ňom emócie, skrátka toto je tá cesta, po ktorej sa treba vydať.",1
"super draha, prijemne obsadena, jemnucko temna a desiva rozpravocka pre dospelych, ktora nenudi. Dan Brown pise skvelo",1
"Cranston absolutne famozny. vsetku pozornost strhol na seba. ostatni mu iba sekundovali, hoci tiez nadpriemerne. ale pri takomto vykone je tazko vobec s hercom drzat krok. vyborne spracovanie dolezitej ery jedneho kontroverzneho prezidenta.",1
"traja herci, jedna farma, minimalisticka hudba. uzasne, vyborne postapo. ak mate radi male, pomale filmy, tomuto musite dat sancu. prekvapi vas a mozno aj prevalcuje. tak dobry je to film. ",1
" krasne to odsypalo, herci symapticki, pointa fajn a najviac ma zaujal styl, akym bol film natoceny. takze za mna velke prekvapenie.",1
Mňa to nadchlo. ,1
"Je fascinujúce sledovať, ako sa dej plynulo prelieva z vrstevnatej psychologickej drámy do bizarnej komédie, či dokonca do akčného filmu (s tak výborne natočenými a monumentálne krvavými prestrelkami, že by to mohla byť Jensenova vstupenka do sveta Bondov, Bourneov či Wickov) a celé je to stále konzistentné a vyvážené.",1
"Neviem ani vyjadriť, ako veľmi ma toto nadchlo. ",1
"Asi životná rola Ethana Hawka, ktorý tu famózne a na doraz hrá fanatického bojovníka proti otroctvu Johna Browna v predvečer americkej Občianskej vojny. ",1
"Príjemná rodinná ""jonesovka"", ktorá má hlavu a pätu. Tak trochu moderná verzia Goonies. Trochu dobrodružstva, humor, krásna príroda, silná porcia havajských mýtov a tradícií.",1
"Veľmi pekný film o archeológii, konkrétne o nájdení anglosaskej pohrebnej lode a pokladu v mohyle Sutton Hoo. Skvelý Ralph Fiennes ako Basil Brown, výborná Carey Mulligan, výborná atmosféra, zlovestné ozveny blížiacej sa druhej svetovej. V druhej polovici to síce rozriedia trochu zbytočné vzťahové melodrámy, ale aj tak kvalitka a povinnosť pre všetkých milovníkov histórie, o archeológoch ani nehovoriac.",1
"Výborné dialógy a skvelí herci, Meryl opäť tak ponorená v úlohe, že ju prestávate vnímať ako ""tú herečku Streepovú"" a vnímate len tú postavu. Kvalitka.",1
"Opäť úžasná výtvarná štylizácia, opäť prekrásny príbeh, ktorý je navyše ukrutne napínavý, lebo pri týchto filmoch nemáte istotu, že všetko dobre dopadne. Luxusná vec a jeden z filmov roka",1
"A je to zručne natočené, veľmi pekne to prelína niekoľko časových línií a hlavne je to herecký koncert všetkých hlavných predstaviteľov, predovšetkým famóznej Glen Close.",1
